Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | driving         | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | T               | Free (System)   
Global          | head            | Free (System)   
Global          | colnames        | Free (System)   
Global          | c               | Free (System)   
Global          | par             | Free (System)   
Global          | mfrow           | Local Variable  
Global          | interaction.plot | Free (System)   
Global          | x.factor        | Local Variable  
Global          | trace.factor    | Local Variable  
Global          | Experience      | Free (System)   
Global          | response        | Local Variable  
Global          | dv              | Free (System)   
Global          | fun             | Local Variable  
Global          | mean            | Free (System)   
Global          | legend          | Local Variable  
Global          | F               | Free (System)   
Global          | type            | Local Variable  
Global          | lwd             | Local Variable  
Global          | ylim            | Local Variable  
Global          | axes            | Local Variable  
Global          | trace.label     | Local Variable  
Global          | xlab            | Local Variable  
Global          | ylab            | Local Variable  
Global          | main            | Local Variable  
Global          | axis            | Free (System)   
Global          | at              | Local Variable  
Global          | seq             | Free (System)   
Global          | text            | Free (System)   
Global          | Road            | Free (System)   
Global          | driving1        | Local Variable  
Global          | subset          | Free (System)   
Global          | DayNight        | Free (System)   
Global          | driving2        | Local Variable  
Global          | title           | Free (System)   
-----------------------------------------------------
