Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | datafile        | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | attach          | Free (System)   
Global          | cat             | Free (System)   
Global          | names           | Free (System)   
Global          | newdata         | Local Variable  
Global          | as.matrix       | Free (System)   
Global          | result          | Local Variable  
Global          | friedman.test   | Free (System)   
Global          | print           | Free (System)   
Global          | mean.samp.columns | Local Variable  
Global          | colMeans        | Free (System)   
Global          | var.samp.means  | Local Variable  
Global          | round           | Free (System)   
Global          | var             | Free (System)   
Global          | digits          | Local Variable  
Global          | nreps           | Local Variable  
Global          | var.means       | Local Variable  
Global          | numeric         | Free (System)   
Global          | newmatrix       | Local Variable  
Global          | matrix          | Free (System)   
Global          | i               | Free (System)   
Global          | j               | Free (System)   
Global          | sample          | Free (System)   
Global          | replace         | Local Variable  
Global          | col.means       | Local Variable  
Global          | hist            | Free (System)   
Global          | xlab            | Local Variable  
Global          | main            | Local Variable  
Global          | freq            | Local Variable  
Global          | arrows          | Free (System)   
Global          | text            | Free (System)   
Global          | prob            | Local Variable  
Global          | length          | Free (System)   
Global          | substitute      | Free (System)   
Global          | p               | Free (System)   
Global          | value           | Free (System)   
Global          | probability     | Free (System)   
Global          | list            | Free (System)   
Global          | library         | Free (System)   
Global          | car             | Free (System)   
Global          | datLong         | Local Variable  
Global          | reshape         | Free (System)   
Global          | data            | Local Variable  
Global          | varying         | Local Variable  
Global          | v.names         | Local Variable  
Global          | timevar         | Local Variable  
Global          | idvar           | Local Variable  
Global          | ids             | Local Variable  
Global          | direction       | Local Variable  
Global          | detach          | Free (System)   
Global          | aov.model       | Local Variable  
Global          | aov             | Free (System)   
Global          | outcome         | Free (System)   
Global          | factor          | Free (System)   
Global          | time            | Free (System)   
Global          | Error           | Free (System)   
Global          | Subject         | Free (System)   
Global          | summary         | Free (System)   
-----------------------------------------------------
