Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | data            | Local Variable  
Global          | read.table      | Free (System)   
Global          | file.choose     | Free (System)   
Global          | header          | Local Variable  
Global          | head            | Free (System)   
Global          | attach          | Free (System)   
Global          | Task            | Local Variable  
Global          | factor          | Free (System)   
Global          | levels          | Local Variable  
Global          | c               | Free (System)   
Global          | labels          | Local Variable  
Global          | Smkgrp          | Local Variable  
Global          | interaction.plot | Free (System)   
Global          | x.factor        | Local Variable  
Global          | SmokeGrp        | Free (System)   
Global          | trace.factor    | Local Variable  
Global          | response        | Local Variable  
Global          | Errors          | Free (System)   
Global          | fun             | Local Variable  
Global          | mean            | Free (System)   
Global          | legend          | Local Variable  
-----------------------------------------------------
