Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | datafile        | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | attach          | Free (System)   
Global          | Group           | Local Variable  
Global          | factor          | Free (System)   
Global          | cat             | Free (System)   
Global          | names           | Free (System)   
Global          | means           | Local Variable  
Global          | tapply          | Free (System)   
Global          | dv              | Free (System)   
Global          | mean            | Free (System)   
Global          | sd              | Local Variable  
Global          | n.s             | Local Variable  
Global          | length          | Free (System)   
Global          | samp.mean.diff  | Local Variable  
Global          | par             | Free (System)   
Global          | mfrow           | Local Variable  
Global          | c               | Free (System)   
Global          | grp1            | Local Variable  
Global          | grp2            | Local Variable  
Global          | hist            | Free (System)   
Global          | main            | Local Variable  
Global          | xlim            | Local Variable  
Global          | xv              | Local Variable  
Global          | seq             | Free (System)   
Global          | min             | Free (System)   
Global          | max             | Free (System)   
Global          | yv              | Local Variable  
Global          | dnorm           | Free (System)   
Global          | new             | Local Variable  
Global          | plot            | Free (System)   
Global          | type            | Local Variable  
Global          | col             | Local Variable  
Global          | xlab            | Local Variable  
Global          | yaxt            | Local Variable  
Global          | ylab            | Local Variable  
Global          | t.result        | Local Variable  
Global          | t.test          | Free (System)   
Global          | paired          | Local Variable  
Global          | conf.level      | Local Variable  
Global          | print           | Free (System)   
Global          | p.value         | Free (System)   
Global          | nreps           | Local Variable  
Global          | meandiff        | Local Variable  
Global          | numeric         | Free (System)   
Global          | i               | Free (System)   
Global          | newdata         | Local Variable  
Global          | sample          | Free (System)   
Global          | size            | Local Variable  
Global          | replace         | Local Variable  
Global          | newmeans        | Local Variable  
Global          | absdiff         | Local Variable  
Global          | abs             | Free (System)   
Global          | prob            | Local Variable  
Global          | nonpar          | Local Variable  
Global          | wilcox.test     | Free (System)   
Global          | alternative     | Local Variable  
Global          | conf.int        | Local Variable  
-----------------------------------------------------
