Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | datafile        | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | attach          | Free (System)   
Global          | cat             | Free (System)   
Global          | names           | Free (System)   
Global          | diff            | Local Variable  
Global          | Elevated        | Free (System)   
Global          | Level           | Free (System)   
Global          | sample.mean     | Local Variable  
Global          | mean            | Free (System)   
Global          | hist            | Free (System)   
Global          | xv              | Local Variable  
Global          | seq             | Free (System)   
Global          | yv              | Local Variable  
Global          | dnorm           | Free (System)   
Global          | par             | Free (System)   
Global          | new             | Local Variable  
Global          | plot            | Free (System)   
Global          | type            | Local Variable  
Global          | col             | Local Variable  
Global          | xlim            | Local Variable  
Global          | c               | Free (System)   
Global          | xlab            | Local Variable  
Global          | yaxt            | Local Variable  
Global          | ylab            | Local Variable  
Global          | t.result        | Local Variable  
Global          | t.test          | Free (System)   
Global          | paired          | Local Variable  
Global          | conf.level      | Local Variable  
Global          | print           | Free (System)   
Global          | p.value         | Free (System)   
Global          | nreps           | Local Variable  
Global          | means.random    | Local Variable  
Global          | numeric         | Free (System)   
Global          | unsigned.diff   | Local Variable  
Global          | abs             | Free (System)   
Global          | n               | Local Variable  
Global          | length          | Free (System)   
Global          | i               | Free (System)   
Global          | signs           | Local Variable  
Global          | sample          | Free (System)   
Global          | size            | Local Variable  
Global          | replace         | Local Variable  
Global          | signed.diff     | Local Variable  
Global          | percent.above   | Local Variable  
Global          | percent.below   | Local Variable  
Global          | percent.extreme | Local Variable  
Global          | unsigned.Diff   | Local Variable  
Global          | aa              | Local Variable  
Global          | as.data.frame   | Free (System)   
Global          | matrix          | Free (System)   
Global          | rep             | Free (System)   
Global          | nr              | Local Variable  
Global          | permutations    | Local Variable  
Global          | as.matrix       | Free (System)   
Global          | expand.grid     | Free (System)   
Global          | head            | Free (System)   
Global          | allsums         | Local Variable  
Global          | allmeans        | Local Variable  
Global          | percent.above2  | Local Variable  
Global          | percent.below2  | Local Variable  
Global          | percent.extreme2 | Local Variable  
Global          | nonpar          | Local Variable  
Global          | wilcox.test     | Free (System)   
Global          | alternative     | Local Variable  
Global          | conf.int        | Local Variable  
-----------------------------------------------------
