Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | pwr             | Free (System)   
Global          | nreps           | Local Variable  
Global          | n.C             | Local Variable  
Global          | n.T             | Local Variable  
Global          | n               | Local Variable  
Global          | results         | Local Variable  
Global          | numeric         | Free (System)   
Global          | df              | Local Variable  
Global          | mu.C            | Local Variable  
Global          | mu.T            | Local Variable  
Global          | sd.C            | Local Variable  
Global          | sd.T            | Local Variable  
Global          | s.pooled        | Local Variable  
Global          | sqrt            | Free (System)   
Global          | d               | Local Variable  
Global          | ncp             | Local Variable  
Global          | delta           | Free (System)   
Global          | tcrit           | Local Variable  
Global          | qt              | Free (System)   
Global          | i               | Free (System)   
Global          | data.C          | Local Variable  
Global          | log             | Free (System)   
Global          | rnorm           | Free (System)   
Global          | data.T          | Local Variable  
Global          | t.test          | Free (System)   
Global          | alternative     | Local Variable  
Global          | mu              | Local Variable  
Global          | statistic       | Free (System)   
Global          | countpos        | Local Variable  
Global          | length          | Free (System)   
Global          | countneg        | Local Variable  
Global          | percent         | Local Variable  
Global          | library         | Free (System)   
Global          | print           | Free (System)   
Global          | pwr.t.test      | Free (System)   
Global          | sig.level       | Local Variable  
Global          | type            | Local Variable  
Global          | hist            | Free (System)   
Global          | breaks          | Local Variable  
Global          | xlab            | Local Variable  
Global          | probability     | Local Variable  
Global          | main            | Local Variable  
Global          | xlim            | Local Variable  
Global          | c               | Free (System)   
Global          | ylim            | Local Variable  
Global          | xv              | Local Variable  
Global          | seq             | Free (System)   
Global          | yv              | Local Variable  
Global          | dt              | Free (System)   
Global          | par             | Free (System)   
Global          | new             | Local Variable  
Global          | T               | Free (System)   
Global          | plot            | Free (System)   
Global          | ylab            | Local Variable  
Global          | polygon         | Free (System)   
Global          | density         | Local Variable  
Global          | col             | Local Variable  
Global          | text            | Free (System)   
Global          | x               | Local Variable  
Global          | y               | Local Variable  
Global          | paste           | Free (System)   
Global          | arrows          | Free (System)   
Global          | x0              | Local Variable  
Global          | y0              | Local Variable  
Global          | x1              | Local Variable  
Global          | y1              | Local Variable  
Global          | code            | Local Variable  
Global          | angle           | Local Variable  
Global          | round           | Free (System)   
-----------------------------------------------------
