Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | datafile        | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | T               | Free (System)   
Global          | head            | Free (System)   
Global          | attach          | Free (System)   
Global          | dv              | Local Variable  
Global          | Gain            | Free (System)   
Global          | n1              | Local Variable  
Global          | length          | Free (System)   
Global          | Group           | Free (System)   
Global          | n2              | Local Variable  
Global          | N               | Local Variable  
Global          | medians         | Local Variable  
Global          | tapply          | Free (System)   
Global          | median          | Free (System)   
Global          | obt.median.diff | Local Variable  
Global          | nreps           | Local Variable  
Global          | sample.median.diff | Local Variable  
Global          | numeric         | Free (System)   
Global          | i               | Free (System)   
Global          | newsample       | Local Variable  
Global          | sample          | Free (System)   
Global          | replace         | Local Variable  
Global          | newmedians      | Local Variable  
Global          | abs             | Free (System)   
Global          | above           | Local Variable  
Global          | below           | Local Variable  
Global          | pextreme        | Local Variable  
Global          | cat             | Free (System)   
Global          | hist            | Free (System)   
Global          | main            | Local Variable  
Global          | breaks          | Local Variable  
Global          | text            | Free (System)   
Global          | paste           | Free (System)   
Global          | print           | Free (System)   
Global          | t.test          | Free (System)   
-----------------------------------------------------
