Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | mfrow           | Local Variable  
Global          | c               | Free (System)   
Global          | nreps           | Local Variable  
Global          | cat             | Free (System)   
Global          | n               | Local Variable  
Global          | scan            | Free (System)   
Global          | nmax            | Local Variable  
Global          | results         | Local Variable  
Global          | numeric         | Free (System)   
Global          | df              | Local Variable  
Global          | i               | Free (System)   
Global          | data            | Local Variable  
Global          | rnorm           | Free (System)   
Global          | mean            | Local Variable  
Global          | sd              | Local Variable  
Global          | t.test          | Free (System)   
Global          | mu              | Local Variable  
Global          | statistic       | Free (System)   
Global          | hist            | Free (System)   
Global          | breaks          | Local Variable  
Global          | main            | Local Variable  
Global          | xlim            | Local Variable  
Global          | ylim            | Local Variable  
Global          | probability     | Local Variable  
Global          | legend          | Free (System)   
Global          | paste           | Free (System)   
Global          | par             | Free (System)   
Global          | new             | Local Variable  
plot            | x               | Formal Parameter 
plot            | dt              | Free (System)   
Global          | x               | Free ( Exists in plot) 
Global          | ncp             | Local Variable  
Global          | col             | Local Variable  
Global          | ylab            | Local Variable  
Global          | arrows          | Free (System)   
Global          | length          | Local Variable  
Global          | text            | Free (System)   
plot            | dnorm           | Free (System)   
Global          | a               | Local Variable  
Global          | abs             | Free (System)   
Global          | qt              | Free (System)   
Global          | p               | Local Variable  
Global          | b               | Local Variable  
-----------------------------------------------------
