Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | data            | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | T               | Free (System)   
Global          | lnSymptoms      | Free (System)   
Global          | log             | Free (System)   
Global          | Symptoms        | Free (System)   
Global          | head            | Free (System)   
Global          | attach          | Free (System)   
Global          | par             | Free (System)   
Global          | mfrow           | Local Variable  
Global          | c               | Free (System)   
Global          | qqnorm          | Free (System)   
Global          | main            | Local Variable  
Global          | qqline          | Free (System)   
Global          | expression      | Free (System)   
Global          | paste           | Free (System)   
Global          | Log             | Free (System)   
Global          | e               | Free (System)   
Global          | Stress          | Free (System)   
Global          | stem            | Free (System)   
Global          | boxplot         | Free (System)   
Global          | horizontal      | Local Variable  
Global          | options         | Free (System)   
Global          | digits          | Local Variable  
Global          | cat             | Free (System)   
Global          | mean            | Free (System)   
Global          | sd              | Free (System)   
Global          | cor             | Free (System)   
Global          | ask             | Local Variable  
Global          | reg1            | Local Variable  
Global          | lm              | Free (System)   
Global          | print           | Free (System)   
Global          | summary         | Free (System)   
Global          | plot            | Free (System)   
Global          | abline          | Free (System)   
Global          | lrf             | Local Variable  
Global          | loess           | Free (System)   
Global          | lines           | Free (System)   
Global          | spline          | Free (System)   
Global          | fitted          | Free (System)   
Global          | pred            | Local Variable  
Global          | predict         | Free (System)   
Global          | resid           | Local Variable  
Global          | residuals       | Free (System)   
Global          | temp            | Local Variable  
Global          | cuttemp         | Local Variable  
Global          | cut             | Free (System)   
Global          | breaks          | Local Variable  
Global          | ordered         | Free (System)   
Global          | labels          | Local Variable  
Global          | fin             | Local Variable  
Global          | xlab            | Local Variable  
Global          | library         | Free (System)   
Global          | MASS            | Free (System)   
Global          | mu              | Local Variable  
Global          | sigma           | Local Variable  
Global          | matrix          | Free (System)   
Global          | multvdata       | Local Variable  
Global          | mvrnorm         | Free (System)   
Global          | Sigma           | Local Variable  
Global          | colnames        | Free (System)   
Global          | as.data.frame   | Free (System)   
Global          | f2              | Local Variable  
Global          | kde2d           | Free (System)   
Global          | col1            | Free (System)   
Global          | col2            | Free (System)   
Global          | n               | Local Variable  
Global          | h               | Local Variable  
Global          | width.SJ        | Free (System)   
Global          | persp           | Free (System)   
Global          | phi             | Local Variable  
Global          | theta           | Local Variable  
Global          | d               | Local Variable  
Global          | expand          | Local Variable  
Global          | box             | Local Variable  
Global          | F               | Free (System)   
Global          | reg             | Local Variable  
Global          | ylab            | Local Variable  
Global          | pch             | Local Variable  
Global          | coef            | Free (System)   
Global          | lty             | Local Variable  
Global          | xy              | Local Variable  
Global          | data.frame      | Free (System)   
Global          | pretty          | Free (System)   
Global          | yhat            | Local Variable  
Global          | newdata         | Local Variable  
Global          | interval        | Local Variable  
Global          | ci              | Local Variable  
Global          | lower           | Local Variable  
Global          | upper           | Local Variable  
Global          | lwd             | Local Variable  
Global          | col             | Local Variable  
CIcurves        | form            | Formal Parameter 
CIcurves        | data            | Formal Parameter 
CIcurves        | lty             | Formal Parameter 
CIcurves        | col             | Formal Parameter 
CIcurves        | newdata         | Formal Parameter 
CIcurves        | lnSymptoms      | Free ( Exists in Global) 
CIcurves        | Stress          | Free ( Exists in Global) 
CIcurves        | data.frame      | Free ( Exists in Global) 
CIcurves        | seq             | Free (System)   
CIcurves        | from            | Local Variable  
CIcurves        | to              | Local Variable  
CIcurves        | by              | Local Variable  
CIcurves        | reg.lm          | Local Variable  
CIcurves        | lm              | Free ( Exists in Global) 
CIcurves        | x               | Local Variable  
CIcurves        | all.vars        | Free (System)   
CIcurves        | hat             | Local Variable  
CIcurves        | predict         | Free ( Exists in Global) 
CIcurves        | interval        | Local Variable  
CIcurves        | lines           | Free ( Exists in Global) 
CIcurves        | spline          | Free ( Exists in Global) 
Global          | splines         | Free (System)   
Global          | CIcurves        | Funtion Call    
Global          | form            | Local Variable  
Global          | ns              | Free (System)   
Global          | rank            | Local Variable  
Global          | distance        | Local Variable  
Global          | lm1             | Local Variable  
Global          | lrf1            | Local Variable  
Global          | lndist          | Local Variable  
Global          | lm2             | Local Variable  
Global          | resid2          | Local Variable  
-----------------------------------------------------
