Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | .proctime00     | Local Variable  
Global          | proc.time       | Free (System)   
Global          | opt.conformance | Local Variable  
Global          | Meps            | Local Variable  
Global          | .Machine        | Free (System)   
Global          | double.eps      | Free (System)   
Global          | set.seed        | Free (System)   
Global          | options         | Free (System)   
Global          | rErr.eps        | Local Variable  
rErr            | approx          | Formal Parameter 
rErr            | true            | Formal Parameter 
rErr            | eps             | Formal Parameter 
rErr            | .Options        | Free (System)   
rErr            | rErr.eps        | Free ( Exists in Global) 
rErr            | options         | Free ( Exists in Global) 
rErr            | is.null         | Free (System)   
rErr            | ifelse          | Free (System)   
rErr            | Mod             | Free (System)   
Global          | abs             | Free (System)   
Global          | double.xmin     | Free (System)   
Global          | double.min.exp  | Free (System)   
Global          | log10           | Free (System)   
Global          | double.xmax     | Free (System)   
Global          | double.max.exp  | Free (System)   
Global          | i1              | Local Variable  
Global          | pi              | Free (System)   
Global          | i2              | Local Variable  
Global          | is.infinite     | Free (System)   
Global          | is.nan          | Free (System)   
Global          | n1              | Local Variable  
Global          | iNA             | Local Variable  
Global          | as.integer      | Free (System)   
Global          | is.na           | Free (System)   
Global          | is.finite       | Free (System)   
Global          | all             | Free (System)   
Global          | c               | Free (System)   
Global          | log             | Free (System)   
Global          | rp              | Local Variable  
Global          | rn              | Local Variable  
Global          | rev             | Free (System)   
Global          | r               | Local Variable  
Global          | ir              | Local Variable  
Global          | suppressWarnings | Free (System)   
Global          | cos             | Free (System)   
Global          | sin             | Free (System)   
Global          | x               | Local Variable  
Global          | rnorm           | Free (System)   
Global          | asin            | Free (System)   
Global          | atan            | Free (System)   
Global          | tan             | Free (System)   
Global          | gamma           | Free (System)   
Global          | rlnorm          | Free (System)   
Global          | rErr            | Funtion Call    
Global          | n               | Local Variable  
Global          | cumprod         | Free (System)   
Global          | lgamma          | Free (System)   
Global          | cumsum          | Free (System)   
Global          | n51             | Local Variable  
Global          | choose          | Free (System)   
Global          | gEuler          | Local Variable  
Global          | digamma         | Free (System)   
Global          | all.equal       | Free (System)   
Global          | tolerance       | Local Variable  
Global          | length          | Free (System)   
Global          | psigamma        | Free (System)   
Global          | deriv           | Local Variable  
Global          | seq             | Free (System)   
Global          | stopifnot       | Free (System)   
Global          | trigamma        | Free (System)   
a.relE          | appr            | Formal Parameter 
a.relE          | true            | Formal Parameter 
a.relE          | abs             | Free ( Exists in Global) 
Global          | appr            | Free ( Exists in a.relE) 
Global          | true            | Free ( Exists in rErr) 
Global          | a.relE          | Funtion Call    
Global          | sqrt            | Free (System)   
Global          | ok              | Local Variable  
Global          | cat             | Free (System)   
Global          | er              | Local Variable  
Global          | Mod             | Free ( Exists in rErr) 
Global          | fft             | Free (System)   
Global          | inverse         | Local Variable  
Global          | n.ok            | Local Variable  
Global          | quantile        | Free (System)   
Global          | names           | Local Variable  
Global          | formatC         | Free (System)   
Global          | prob            | Local Variable  
Global          | print           | Free (System)   
Global          | var             | Free (System)   
Global          | diag            | Free (System)   
Global          | matrix          | Free (System)   
Global          | rep             | Free (System)   
Global          | nr              | Local Variable  
Global          | nc              | Local Variable  
Global          | v1              | Local Variable  
Global          | a               | Local Variable  
Global          | m1              | Local Variable  
Global          | cbind           | Free (System)   
Global          | m2              | Local Variable  
Global          | pmax            | Free (System)   
Global          | pmin            | Free (System)   
Global          | oo              | Local Variable  
Global          | warn            | Local Variable  
Global          | pretty          | Free (System)   
Global          | by              | Local Variable  
Global          | h               | Local Variable  
Global          | shr             | Local Variable  
Global          | len             | Local Variable  
Global          | x12             | Local Variable  
Global          | j               | Free (System)   
Global          | round           | Free (System)   
Global          | dig             | Local Variable  
Global          | rpois           | Free (System)   
Global          | lam             | Local Variable  
Global          | i               | Free (System)   
Global          | lp              | Local Variable  
Global          | p               | Local Variable  
Global          | sort            | Free (System)   
Global          | pi0             | Local Variable  
Global          | match           | Free (System)   
Global          | z               | Local Variable  
Global          | mean            | Free (System)   
Global          | trim            | Local Variable  
Global          | na.rm           | Local Variable  
-----------------------------------------------------
