Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | warn            | Local Variable  
Global          | a               | Local Variable  
Global          | b               | Local Variable  
Global          | x               | Local Variable  
Global          | pbi             | Local Variable  
Global          | pbetaI          | Free (System)   
Global          | log.p           | Local Variable  
Global          | precBits        | Local Variable  
Global          | dput            | Free (System)   
Global          | format          | Free (System)   
Global          | roundMpfr       | Free (System)   
Global          | interactive     | Free (System)   
Global          | require         | Free (System)   
Global          | Rmpfr           | Free (System)   
Global          | lpb             | Local Variable  
Global          | c               | Free (System)   
Global          | stopifnot       | Free (System)   
Global          | all.equal       | Free (System)   
Global          | pbeta           | Free (System)   
Global          | log.            | Local Variable  
Global          | tol             | Local Variable  
Global          | qpb             | Local Variable  
Global          | qbeta           | Free (System)   
Global          | relE            | Local Variable  
Global          | mean            | Free (System)   
Global          | abs             | Free (System)   
Global          | max             | Free (System)   
Global          | x1              | Local Variable  
Global          | lp1             | Local Variable  
Global          | qp1             | Local Variable  
Global          | p1              | Local Variable  
Global          | exp             | Free (System)   
Global          | qp1.            | Local Variable  
Global          | relE.           | Local Variable  
Global          | .Machine        | Free (System)   
Global          | double.eps      | Free (System)   
Global          | qx              | Local Variable  
Global          | log             | Local Variable  
Global          | pq              | Local Variable  
Global          | curve           | Free (System)   
Global          | n               | Local Variable  
Global          | x.              | Local Variable  
Global          | log1p           | Free (System)   
Global          | q2              | Local Variable  
Global          | p2              | Local Variable  
Global          | mtext           | Free (System)   
Global          | R.version.string | Free (System)   
Global          | lp2             | Local Variable  
Global          | qp2             | Local Variable  
Global          | pq2             | Local Variable  
Global          | is.finite       | Free (System)   
Global          | plot            | Free (System)   
Global          | type            | Local Variable  
Global          | sub             | Local Variable  
Global          | V               | Local Variable  
Global          | abline          | Free (System)   
Global          | v               | Local Variable  
Global          | lty             | Local Variable  
Global          | subset          | Local Variable  
Global          | log2            | Free (System)   
Global          | axis            | Free (System)   
Global          | at              | Local Variable  
Global          | labels          | Local Variable  
Global          | col             | Local Variable  
Global          | rel2            | Local Variable  
Global          | lp3             | Local Variable  
Global          | qp3             | Local Variable  
Global          | pq3             | Local Variable  
Global          | col.axis        | Local Variable  
Global          | options         | Free (System)   
-----------------------------------------------------
