Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | dat             | Local Variable  
Global          | read.table      | Free (System)   
Global          | file            | Local Variable  
Global          | header          | Local Variable  
Global          | attach          | Free (System)   
Global          | par             | Free (System)   
Global          | mfrow           | Local Variable  
Global          | c               | Free (System)   
Global          | ask             | Local Variable  
Global          | plot            | Free (System)   
Global          | RxTime          | Free (System)   
Global          | hist            | Free (System)   
Global          | breaks          | Local Variable  
Global          | main            | Local Variable  
Global          | RxTime.Sorted   | Local Variable  
Global          | sort            | Free (System)   
Global          | probability     | Local Variable  
Global          | xfit            | Local Variable  
Global          | seq             | Free (System)   
Global          | min             | Free (System)   
Global          | max             | Free (System)   
Global          | length          | Local Variable  
Global          | yfit            | Local Variable  
Global          | dnorm           | Free (System)   
Global          | mean            | Local Variable  
Global          | sd              | Local Variable  
Global          | lines           | Free (System)   
Global          | col             | Local Variable  
Global          | density         | Free (System)   
Global          | detach          | Free (System)   
Global          | anorexia        | Local Variable  
Global          | Gain2           | Local Variable  
Global          | Gain            | Free (System)   
Global          | Group           | Free (System)   
Global          | rm              | Free (System)   
Global          | boxplot         | Free (System)   
Global          | data            | Local Variable  
Global          | ylab            | Local Variable  
Global          | Group.named     | Local Variable  
Global          | factor          | Free (System)   
Global          | levels          | Local Variable  
Global          | labels          | Local Variable  
Global          | names           | Local Variable  
Global          | stem            | Free (System)   
Global          | fin             | Local Variable  
Global          | x0              | Local Variable  
Global          | by              | Local Variable  
Global          | ht              | Local Variable  
Global          | xx0             | Local Variable  
Global          | type            | Local Variable  
Global          | yaxt            | Local Variable  
Global          | xlab            | Local Variable  
Global          | xlim            | Local Variable  
Global          | polygon         | Free (System)   
Global          | arrows          | Free (System)   
Global          | text            | Free (System)   
Global          | substitute      | Free (System)   
Global          | beta            | Free (System)   
Global          | expression      | Free (System)   
Global          | H               | Free (System)   
Global          | abline          | Free (System)   
Global          | v               | Local Variable  
Global          | new             | Local Variable  
Global          | x1              | Local Variable  
Global          | x11             | Local Variable  
Global          | ht1             | Local Variable  
Global          | alpha           | Free (System)   
-----------------------------------------------------
