Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | x               | Local Variable  
Global          | structure       | Free (System)   
Global          | pi              | Free (System)   
Global          | class           | Local Variable  
Global          | xx              | Local Variable  
Global          | f               | Free (System)   
Global          | ls              | Free (System)   
Global          | .GenericArgsEnv | Free (System)   
Global          | all.names       | Local Variable  
Global          | cat             | Free (System)   
Global          | sep             | Local Variable  
method          | x               | Formal Parameter 
Global          | paste           | Free (System)   
assign          | ...             | Formal Parameter 
assign          | xx              | Free ( Exists in Global) 
Global          | .GlobalEnv      | Free (System)   
Global          | res             | Local Variable  
Global          | seq.int         | Free (System)   
Global          | length          | Free (System)   
Global          | grep            | Free (System)   
Global          | assign          | Funtion Call    
method          | value           | Formal Parameter 
method          | xx              | Free ( Exists in Global) 
Global          | y               | Local Variable  
Global          | eval            | Free (System)   
Global          | substitute      | Free (System)   
Global          | ff              | Free (System)   
Global          | value           | Local Variable  
Global          | list            | Free (System)   
Global          | as.name         | Free (System)   
Global          | get             | Free (System)   
Global          | body            | Free (System)   
Global          | method          | Funtion Call    
Global          | stopifnot       | Free (System)   
Global          | rm              | Free (System)   
Global          | .ArgsEnv        | Free (System)   
Global          | fx              | Local Variable  
Global          | envir           | Local Variable  
Global          | quote           | Free (System)   
Global          | na              | Local Variable  
Global          | try             | Free (System)   
Global          | silent          | Local Variable  
Global          | stop            | Free (System)   
Global          | inherits        | Free (System)   
Global          | identical       | Free (System)   
Global          | as.list         | Free (System)   
Global          | baseenv         | Free (System)   
Global          | names           | Free (System)   
Global          | vapply          | Free (System)   
Global          | is.primitive    | Free (System)   
Global          | logical         | Free (System)   
Global          | known           | Local Variable  
Global          | c               | Free (System)   
Global          | tools           | Free (System)   
Global          | langElts        | Free (System)   
Global          | ff4             | Local Variable  
meth.FList      | x               | Formal Parameter 
Global          | methods         | Free (System)   
Global          | .BasicFunsList  | Free (System)   
Global          | S4generic       | Local Variable  
Global          | notS4           | Local Variable  
Global          | sQuote          | Free (System)   
Global          | collapse        | Local Variable  
Global          | extraS4         | Local Variable  
Global          | nongen_prims    | Local Variable  
Global          | ff3             | Local Variable  
meth.FList      | is.logical      | Free (System)   
Global          | USE.NAMES       | Local Variable  
Global          | ex              | Local Variable  
Global          | require         | Free (System)   
Global          | setClass        | Free (System)   
Global          | representation  | Free (System)   
Global          | new             | Free (System)   
Global          | S4gen           | Local Variable  
Global          | meth.FList      | Funtion Call    
Global          | is.function     | Free (System)   
Global          | g               | Local Variable  
Global          | getGeneric      | Free (System)   
Global          | is              | Free (System)   
Global          | args            | Free (System)   
Global          | nm              | Local Variable  
Global          | formals         | Free (System)   
Global          | setMethod       | Free (System)   
Global          | except          | Local Variable  
Global          | an              | Local Variable  
Global          | a               | Local Variable  
Global          | rep             | Free (System)   
Global          | do.call         | Free (System)   
Global          | m               | Local Variable  
Global          | geterrmessage   | Free (System)   
Global          | grepl           | Free (System)   
Global          | zZ              | Local Variable  
-----------------------------------------------------
