Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | useFancyQuotes  | Local Variable  
Global          | require         | Free (System)   
Global          | methods         | Free (System)   
Global          | assertError     | Local Variable  
Global          | tools           | Free (System)   
Global          | stats4          | Free (System)   
Global          | detach          | Free (System)   
Global          | cc              | Local Variable  
Global          | getClassDef     | Free (System)   
Global          | stopifnot       | Free (System)   
Global          | .isMethodsDispatchOn | Free (System)   
Global          | new             | Free (System)   
Global          | setClass        | Free (System)   
Global          | representation  | Free (System)   
Global          | date            | Local Variable  
x               | x               | Formal Parameter 
Global          | as.POSIXct      | Free (System)   
Global          | format          | Free (System)   
Global          | all.equal       | Free (System)   
f               | x               | Formal Parameter 
f               | y               | Formal Parameter 
f               | c               | Free (System)   
Global          | xy              | Local Variable  
Global          | trace           | Free (System)   
f               | signal          | Local Variable  
Global          | quote           | Free (System)   
c               | x               | Formal Parameter 
Global          | exit            | Local Variable  
Global          | print           | Local Variable  
Global          | fxy             | Local Variable  
Global          | identical       | Free (System)   
Global          | untrace         | Free (System)   
setGeneric      | object          | Formal Parameter 
setMethod       | object          | Formal Parameter 
c               | y               | Formal Parameter 
c               | paste           | Free (System)   
y               | x               | Formal Parameter 
Global          | try             | Free (System)   
Global          | paste           | Free ( Exists in c) 
Global          | sig             | Local Variable  
Global          | xyy             | Free (System)   
Global          | removeGeneric   | Free (System)   
Global          | a               | Local Variable  
Global          | foo             | Local Variable  
Global          | pi              | Free (System)   
Global          | show            | Free (System)   
setMethod       | cat             | Free (System)   
setMethod       | x               | Formal Parameter 
setMethod       | ...             | Formal Parameter 
Global          | digits          | Local Variable  
Global          | setClassUnion   | Free (System)   
Global          | members         | Local Variable  
Global          | code            | Local Variable  
Global          | nc              | Local Variable  
Global          | str             | Free (System)   
Global          | library         | Free (System)   
Global          | showMethods     | Free (System)   
Global          | classes         | Local Variable  
Global          | d2              | Local Variable  
Global          | data.frame      | Free (System)   
Global          | b               | Local Variable  
Global          | I               | Free (System)   
Global          | matrix          | Free (System)   
Global          | Dim             | Local Variable  
Global          | as.character    | Free ( Exists in wrap2) 
signature       | ...             | Formal Parameter 
Global          | i               | Local Variable  
Global          | j               | Local Variable  
drop            | x               | Formal Parameter 
drop            | i               | Formal Parameter 
drop            | j               | Formal Parameter 
drop            | drop            | Formal Parameter 
Global          | removeMethod    | Free (System)   
drop            | new             | Free ( Exists in Global) 
Global          | bar             | Local Variable  
Global          | contains        | Local Variable  
setGeneric      | arg             | Formal Parameter 
setGeneric      | standardGeneric | Free (System)   
Global          | object          | Local Variable  
arg             | object          | Formal Parameter 
arg             | arg             | Formal Parameter 
arg             | cat             | Free ( Exists in setMethod) 
Global          | arg             | Local Variable  
Global          | z               | Local Variable  
Global          | prototype       | Local Variable  
Global          | selectSuperClasses | Free (System)   
Global          | dropVirtual     | Local Variable  
length          | x               | Formal Parameter 
Global          | .selectSuperClasses | Free (System)   
Global          | getClass        | Free (System)   
Global          | all             | Free (System)   
Global          | getGroupMembers | Free (System)   
Global          | any             | Free (System)   
logic.brob.error | nm              | Formal Parameter 
logic.brob.error | stop            | Free (System)   
Global          | nm              | Free ( Exists in logic.brob.error) 
