Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | require         | Free (System)   
Global          | pdf             | Free (System)   
Global          | encoding        | Local Variable  
Global          | model3          | Local Variable  
Global          | clogit          | Free (System)   
Global          | case            | Free (System)   
Global          | spontaneous     | Free (System)   
Global          | induced         | Free (System)   
Global          | strata          | Free (System)   
Global          | stratum         | Free (System)   
Global          | data            | Local Variable  
Global          | infert          | Free (System)   
Global          | print           | Free (System)   
Global          | summary         | Free (System)   
Global          | detach          | Free (System)   
Global          | unload          | Local Variable  
Global          | x1              | Local Variable  
Global          | matrix          | Free (System)   
Global          | rnorm           | Free (System)   
Global          | ncol            | Local Variable  
Global          | x2              | Local Variable  
Global          | mean            | Local Variable  
Global          | sd              | Local Variable  
Global          | x               | Local Variable  
Global          | rbind           | Free (System)   
Global          | dcols           | Local Variable  
Global          | densCols        | Free (System)   
Global          | graphics        | Free (System)   
Global          | plot            | Free (System)   
Global          | col             | Local Variable  
Global          | pch             | Local Variable  
Global          | main            | Local Variable  
Global          | set.seed        | Free (System)   
Global          | n               | Local Variable  
Global          | oldpar          | Local Variable  
Global          | par             | Free (System)   
Global          | mfrow           | Local Variable  
Global          | c               | Free (System)   
Global          | smoothScatter   | Free (System)   
Global          | nrpoints        | Local Variable  
Global          | Lab.palette     | Local Variable  
Global          | colorRampPalette | Free (System)   
Global          | space           | Local Variable  
Global          | colramp         | Local Variable  
Global          | y               | Local Variable  
Global          | pairs           | Free (System)   
panel           | ...             | Formal Parameter 
panel           | smoothScatter   | Free ( Exists in Global) 
Global          | ...             | Free ( Exists in panel) 
Global          | add             | Local Variable  
Global          | op              | Local Variable  
Global          | options         | Free (System)   
Global          | contrasts       | Local Variable  
Global          | npk.aov         | Local Variable  
Global          | aov             | Free (System)   
Global          | yield           | Free (System)   
Global          | block           | Free (System)   
Global          | N               | Free (System)   
Global          | P               | Free (System)   
Global          | K               | Free (System)   
Global          | npk             | Free (System)   
Global          | alias           | Free (System)   
Global          | hc              | Local Variable  
Global          | hclust          | Free (System)   
Global          | dist            | Free (System)   
Global          | method          | Local Variable  
Global          | ag              | Local Variable  
Global          | agnes           | Free (System)   
Global          | hcag            | Local Variable  
Global          | as.hclust       | Free (System)   
Global          | mtext           | Free (System)   
Global          | side            | Local Variable  
Global          | quietly         | Local Variable  
Global          | counts          | Local Variable  
Global          | outcome         | Local Variable  
Global          | gl              | Free (System)   
Global          | treatment       | Local Variable  
Global          | glm.D93         | Local Variable  
Global          | glm             | Free (System)   
Global          | family          | Local Variable  
Global          | poisson         | Free (System)   
Global          | confint         | Free (System)   
Global          | confint.default | Free (System)   
Global          | utils           | Free (System)   
Global          | example         | Free (System)   
Global          | factor          | Free (System)   
Global          | fff             | Local Variable  
Global          | ff              | Free (System)   
Global          | drop            | Local Variable  
Global          | contr.sum       | Free (System)   
Global          | ffs             | Local Variable  
Global          | sparse          | Local Variable  
Global          | stopifnot       | Free (System)   
Global          | all.equal       | Free (System)   
Global          | anorexia        | Free (System)   
Global          | package         | Local Variable  
Global          | anorex.1        | Local Variable  
Global          | Postwt          | Free (System)   
Global          | Prewt           | Free (System)   
Global          | Treat           | Free (System)   
