Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | paper           | Local Variable  
Global          | encoding        | Local Variable  
Global          | compress        | Local Variable  
Global          | options         | Free (System)   
Global          | warn            | Local Variable  
Global          | plot            | Free (System)   
Global          | str             | Free (System)   
Global          | par             | Free (System)   
Global          | c               | Free (System)   
Global          | pty             | Local Variable  
Global          | type            | Local Variable  
Global          | xlab            | Local Variable  
Global          | ylab            | Local Variable  
Global          | xaxs            | Local Variable  
Global          | yaxs            | Local Variable  
Global          | title           | Free (System)   
Global          | grid            | Free (System)   
Global          | lty             | Local Variable  
Global          | known           | Local Variable  
Global          | i               | Free (System)   
Global          | x               | Local Variable  
Global          | y               | Local Variable  
Global          | points          | Free (System)   
Global          | pch             | Local Variable  
Global          | dotchart        | Free (System)   
Global          | VADeaths        | Free (System)   
Global          | main            | Local Variable  
Global          | cex             | Local Variable  
Global          | t1              | Local Variable  
Global          | ts              | Free (System)   
Global          | log             | Local Variable  
Global          | cbind           | Free (System)   
Global          | plot.type       | Local Variable  
Global          | stopifnot       | Free (System)   
Global          | polygon         | Free (System)   
Global          | col             | Local Variable  
Global          | border          | Local Variable  
Global          | rect            | Free (System)   
Global          | with            | Free (System)   
Global          | trees           | Free (System)   
Global          | symbols         | Free (System)   
Global          | Height          | Free (System)   
Global          | Volume          | Free (System)   
Global          | circles         | Local Variable  
Global          | Girth           | Free (System)   
Global          | inches          | Local Variable  
Global          | bg              | Local Variable  
Global          | lt              | Local Variable  
Global          | is.R            | Free (System)   
Global          | seq             | Free (System)   
Global          | len             | Local Variable  
Global          | op              | Local Variable  
Global          | tck             | Local Variable  
Global          | mgp             | Local Variable  
Global          | xaxt            | Local Variable  
Global          | lines           | Free (System)   
Global          | lwd             | Local Variable  
Global          | axis            | Free (System)   
Global          | pos             | Local Variable  
Global          | at              | Local Variable  
Global          | mtext           | Free (System)   
Global          | side            | Local Variable  
Global          | UCBAdmissions   | Free (System)   
Global          | tt              | Local Variable  
Global          | table           | Free (System)   
Global          | rep             | Free (System)   
Global          | axes            | Local Variable  
Global          | lo              | Local Variable  
Global          | legend          | Free (System)   
Global          | substitute      | Free (System)   
Global          | hat             | Free (System)   
Global          | theta           | Free (System)   
Global          | that            | Free (System)   
Global          | list            | Free (System)   
Global          | pi              | Free (System)   
Global          | length          | Free (System)   
Global          | text            | Free (System)   
Global          | ecdf            | Free (System)   
Global          | try             | Free (System)   
Global          | pt.bg           | Local Variable  
Global          | as.Date         | Free (System)   
Global          | Opar            | Local Variable  
Global          | no.readonly     | Local Variable  
Global          | Npar            | Local Variable  
Global          | ii              | Local Variable  
Global          | identical       | Free (System)   
Global          | names           | Free (System)   
Global          | cos             | Free (System)   
Global          | xlim            | Local Variable  
Global          | n               | Local Variable  
Global          | abline          | Free (System)   
Global          | v               | Local Variable  
Global          | sin             | Free (System)   
Global          | tcl             | Local Variable  
Global          | mar             | Local Variable  
Global          | gamma           | Free (System)   
Global          | yla             | Local Variable  
Global          | expression      | Free (System)   
Global          | Gamma           | Free (System)   
Global          | yaxt            | Local Variable  
Global          | x1              | Local Variable  
Global          | lag             | Free (System)   
Global          | curve           | Free (System)   
Global          | exp             | Free (System)   
Global          | add             | Local Variable  
Global          | infert          | Free (System)   
Global          | education       | Free (System)   
Global          | hc              | Local Variable  
Global          | hclust          | Free (System)   
Global          | dst             | Local Variable  
Global          | dist            | Free (System)   
Global          | method          | Local Variable  
Global          | ann             | Local Variable  
-----------------------------------------------------
