Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | expression      | Free (System)   
Global          | sqrt            | Free (System)   
Global          | pi              | Free (System)   
Global          | all             | Free (System)   
Global          | cumsum          | Free (System)   
Global          | rep             | Free (System)   
Global          | x               | Local Variable  
Global          | rnorm           | Free (System)   
Global          | sx              | Local Variable  
Global          | sum             | Free (System)   
Global          | abs             | Free (System)   
Global          | rev             | Free (System)   
Global          | typeof          | Free (System)   
Global          | try             | Free (System)   
Global          | parse           | Free (System)   
Global          | text            | Local Variable  
Global          | seq             | Free (System)   
Global          | length          | Local Variable  
Global          | as.integer      | Free (System)   
Global          | is.na           | Free (System)   
Global          | c               | Free (System)   
Global          | is.nan          | Free (System)   
Global          | cc              | Local Variable  
Global          | names           | Free (System)   
Global          | a               | Local Variable  
Global          | b               | Local Variable  
Global          | d               | Local Variable  
Global          | paste           | Free (System)   
Global          | sep             | Local Variable  
Global          | ncb             | Local Variable  
Global          | dimnames        | Free (System)   
Global          | cbind           | Free (System)   
Global          | yy              | Local Variable  
Global          | is.null         | Free (System)   
Global          | t               | Free (System)   
Global          | rbind           | Free (System)   
Global          | dim             | Free (System)   
Global          | I               | Local Variable  
Global          | m               | Local Variable  
Global          | diag            | Free (System)   
Global          | is.factor       | Free (System)   
Global          | factor          | Free (System)   
Global          | integer         | Free (System)   
Global          | levels          | Free (System)   
Global          | ordered         | Free (System)   
Global          | gl              | Free (System)   
Global          | ff              | Local Variable  
Global          | outer           | Free (System)   
Global          | ll              | Local Variable  
Global          | f0              | Local Variable  
Global          | drop            | Local Variable  
Global          | x1              | Free (System)   
Global          | x2              | Free (System)   
Global          | dx              | Local Variable  
Global          | as.data.frame   | Free (System)   
Global          | l1              | Local Variable  
Global          | as.logical      | Free (System)   
Global          | data.frame      | Free (System)   
Global          | x30             | Local Variable  
Global          | is.R            | Free (System)   
Global          | structure       | Free (System)   
Global          | list            | Free (System)   
Global          | row.names       | Local Variable  
Global          | class           | Local Variable  
Global          | x01             | Local Variable  
Global          | x00             | Local Variable  
Global          | m30             | Local Variable  
Global          | as.matrix       | Free (System)   
Global          | m01             | Local Variable  
Global          | data.matrix     | Free (System)   
Global          | m0              | Local Variable  
Global          | matrix          | Free (System)   
Global          | a302            | Local Variable  
Global          | array           | Free (System)   
Global          | identical       | Free (System)   
Global          | apply           | Free (System)   
Global          | mode            | Free (System)   
Global          | is.character    | Free (System)   
Global          | aa              | Local Variable  
Global          | y               | Local Variable  
Global          | all.equal       | Free (System)   
Global          | l2              | Local Variable  
Global          | e               | Free (System)   
Global          | tolerance       | Local Variable  
Global          | f1              | Local Variable  
Global          | y1              | Free (System)   
Global          | f2              | Local Variable  
Global          | y2              | Free (System)   
Global          | deparse         | Free (System)   
Global          | R               | Local Variable  
Global          | S               | Local Variable  
Global          | sapply          | Free (System)   
Global          | d1              | Local Variable  
Global          | new             | Local Variable  
Global          | attr            | Free (System)   
Global          | unclass         | Free (System)   
Global          | format          | Free (System)   
Global          | as.POSIXct      | Free (System)   
Global          | relR120         | Local Variable  
Global          | substr          | Free (System)   
Global          | rx              | Local Variable  
Global          | rank            | Free (System)   
Global          | rxK             | Local Variable  
Global          | na.last         | Local Variable  
Global          | na.omit         | Free (System)   
Global          | as.list         | Free (System)   
Global          | alist           | Free (System)   
Global          | ...             | Free (System)   
Global          | UseMethod       | Free (System)   
Global          | t1              | Local Variable  
Global          | t2              | Local Variable  
Global          | t3              | Local Variable  
Global          | endsWith        | Free (System)   
Global          | startsWith      | Free (System)   
-----------------------------------------------------
