Scope           | Variable        | Typification     
-----------------------------------------------------
Global          | rawdata         | Local Variable  
Global          | c               | Free (System)   
Global          | gIIP            | Local Variable  
Global          | ts              | Free (System)   
Global          | frequency       | Local Variable  
Global          | start           | Local Variable  
Global          | print           | Free (System)   
Global          | plot.ts         | Free (System)   
Global          | type            | Local Variable  
Global          | col             | Local Variable  
Global          | ylab            | Local Variable  
Global          | lwd             | Local Variable  
Global          | main            | Local Variable  
Global          | grid            | Free (System)   
Global          | window          | Free (System)   
Global          | mean            | Free (System)   
Global          | sd              | Free (System)   
Global          | summary         | Free (System)   
Global          | plot            | Free (System)   
Global          | density         | Free (System)   
Global          | acf             | Free (System)   
Global          | m.ar2           | Local Variable  
Global          | arima           | Free (System)   
Global          | order           | Local Variable  
Global          | tsdiag          | Free (System)   
Global          | Box.test        | Free (System)   
Global          | residuals       | Free (System)   
Global          | lag             | Local Variable  
Global          | xlim            | Local Variable  
Global          | paste           | Free (System)   
Global          | residual        | Free (System)   
Global          | s               | Local Variable  
Global          | sqrt            | Free (System)   
Global          | sigma2          | Free (System)   
Global          | abline          | Free (System)   
Global          | h               | Local Variable  
Global          | p               | Local Variable  
Global          | predict         | Free (System)   
Global          | n.ahead         | Local Variable  
Global          | gain            | Local Variable  
Global          | se              | Free (System)   
Global          | ts.plot         | Free (System)   
Global          | pred            | Free (System)   
Global          | gpars           | Local Variable  
Global          | list            | Free (System)   
Global          | lty             | Local Variable  
Global          | legend          | Free (System)   
Global          | x               | Local Variable  
Global          | cex             | Local Variable  
Global          | bty             | Local Variable  
-----------------------------------------------------
