Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | psych           | Free (System)   
Global          | library         | Free (System)   
Global          | asbio           | Free (System)   
Global          | dat             | Local Variable  
Global          | read.table      | Free (System)   
Global          | header          | Local Variable  
Global          | head            | Free (System)   
Global          | attach          | Free (System)   
Global          | sampmean        | Local Variable  
Global          | mean            | Free (System)   
Global          | RxTime          | Free (System)   
Global          | sampmedian      | Local Variable  
Global          | median          | Free (System)   
Global          | sampsd          | Local Variable  
Global          | sd              | Free (System)   
Global          | n               | Local Variable  
Global          | length          | Free (System)   
Global          | cat             | Free (System)   
Global          | describe        | Free (System)   
Global          | trimmed.sample  | Local Variable  
Global          | trim.me         | Free (System)   
Global          | trim            | Local Variable  
Global          | trimmed.mean    | Local Variable  
Global          | trimmed.sd      | Local Variable  
Global          | winsor.sample   | Local Variable  
Global          | winsor          | Free (System)   
Global          | winsor.mean     | Local Variable  
Global          | winsor.sd       | Local Variable  
Global          | par             | Free (System)   
Global          | mfrow           | Local Variable  
Global          | c               | Free (System)   
Global          | hist            | Free (System)   
Global          | breaks          | Local Variable  
Global          | seq             | Free (System)   
Global          | col             | Local Variable  
Global          | xlim            | Local Variable  
Global          | min             | Free (System)   
Global          | max             | Free (System)   
Global          | density         | Local Variable  
Global          | ylim            | Local Variable  
Global          | xlab            | Local Variable  
Global          | legend          | Free (System)   
Global          | substitute      | Free (System)   
Global          | Mean            | Free (System)   
Global          | a               | Free (System)   
Global          | list            | Free (System)   
Global          | bty             | Local Variable  
-----------------------------------------------------
